Id,Prediction
0,1415
1,1877
2,1544
3,2389
4,2031
5,2912
6,2001
7,1871
8,1273
9,1237
10,1669
11,2954
12,1617
13,1696
14,1817
15,1766
16,1214
17,2027
18,1833
19,2123
20,1866
21,1970
22,2307
23,1170
24,2341
25,2150
26,1299
27,1269
28,1541
29,2359
30,1238
31,1236
32,1887
33,120470
34,1297
35,1499
36,1540
37,2523
38,1543
39,2043
40,1235
41,2268
42,1196
43,2165
44,1112
45,1463
46,1391
47,1466
48,2443
49,1628
50,1961
51,1860
52,2017
53,1660
54,1932
55,2614
56,3118
57,1186
58,1160
59,1662
60,1977
61,1678
62,1797
63,1086
64,2191
65,1306
66,1362
67,1477
68,1390
69,1326
70,1537
71,2022
72,1814
73,2071
74,1203
75,1129
76,1432
77,1978
78,1303
79,2799
80,1983
81,2121
82,2361
83,1950
84,1496
85,1625
86,2064
87,1248
88,1128
89,1301
90,1725
91,1089
92,1924
93,2496
94,1650
95,1292
96,2389
97,1889
98,1774
99,2302
100,1559
101,1817
102,1565
103,2502
104,1351
105,1520
106,3524
107,2204
108,1460
109,1748
110,1417
111,2006
112,1290
113,1771
114,1291
115,1782
116,1629
117,1771
118,1533
119,1602
120,1428
121,1335
122,1262
123,1573
124,1899
125,1706
126,1751
127,3371
128,2016
129,2681
130,1243
131,1364
132,2096
133,1347
134,1292
135,1373
136,1938
137,1511
138,1821
139,1693
140,1473
141,1426
142,2099
143,1703
144,1708
145,1424
146,1717
147,1615
148,1982
149,2467
150,1897
151,1975
152,1650
153,1664
154,1686
155,1982
156,2571
157,2662
158,1306
159,1668
160,1934
161,3010
162,1213
163,2753
164,2608
165,2101
166,1729
167,1637
168,1693
169,1714
170,2731
171,1934
172,1197
173,1728
174,1520
175,1242
176,1462
177,1634
178,1669
179,2005
180,2134
181,2403
182,2074
183,1585
184,1447
185,1272
186,1569
187,1619
188,1624
189,2972
190,1929
191,1669
192,2195
193,1906
194,1515
195,1350
196,1265
197,2110
198,2401
199,1795
200,1341
201,1681
202,1751
203,2067
204,2361
205,1635
206,2597
207,1515
208,1797
209,2735
210,2150
211,2016
212,1675
213,1385
214,1664
215,1296
216,1493
217,1428
218,2037
219,1283
220,1523
221,1665
222,1494
223,1659
224,1373
225,1384
226,1896
227,2198
228,1762
229,1415
230,1702
231,1770
232,1602
233,1154
234,1270
235,1628
236,1635
237,1803
238,2686
239,3159
240,1765
241,1619
242,1447
243,2058
244,1500
245,1607
246,1408
247,2388
248,1665
249,1215
250,1999
251,1783
252,1716
253,1645
254,1725
255,1493
256,1612
257,1654
258,1791
259,2056
260,1640
261,2569
262,2046
263,2626
264,1620
265,2370
266,1357
267,1342
268,2025
269,2023
270,1358
271,1504
272,1544
273,2045
274,1598
275,1617
276,2329
277,1885
278,2290
279,1672
280,1912
281,1550
282,1675
283,1710
284,1919
285,1388
286,1556
287,1406
288,1221
289,1676
290,2314
291,3299
292,1052
293,2074
294,1593
295,1593
296,1519
297,1848
298,1198
299,1182
300,1638
301,1528
302,1209
303,2168
304,1872
305,1921
306,2214
307,1215
308,1631
309,2941
310,2863
311,1870
312,5677
313,1293
314,1342
315,1195
316,2455
317,1292
318,1194
319,1802
320,2499
321,1764
322,1552
323,2304
324,1160
325,1951
326,1785
327,1385
328,1484
329,1958
330,2778
331,1322
332,1602
333,1953
334,1983
335,2149
336,2144
337,1269
338,1792
339,2190
340,1656
341,1722
342,1631
343,1748
344,1699
345,2604
346,2406
347,2036
348,2393
349,1815
350,1950
351,1839
352,1629
353,1274
354,1853
355,2056
356,2385
357,1658
358,1452
359,2211
360,1948
361,1721
362,1547
363,1707
364,1516
365,1468
366,1315
367,3210
368,1198
369,1073
370,2140
371,1661
372,1850
373,1553
374,1491
375,1431
376,2109
377,1226
378,1854
379,1739
380,1925
381,1483
382,1593
383,1996
384,2095
385,1377
386,1380
387,1942
388,1374
389,1822
390,2736
391,3185
392,2241
393,1580
394,2092
395,1588
396,1306
397,1920
398,1386
399,2606
400,1869
401,2805
402,1818
403,1712
404,1698
405,1983
406,1400
407,2127
408,2037
409,2035
410,1409
411,1516
412,1714
413,1837
414,2088
415,1349
416,1373
417,1616
418,1646
419,1687
420,1451
421,2076
422,2422
423,1292
424,1624
425,1259
426,2064
427,1363
428,2467
429,5772
430,1500
431,1560
432,2027
433,1994
434,1574
435,1514
436,1349
437,2206
438,1637
439,1407
440,2215
441,1495
442,1544
443,1955
444,1813
445,1425
446,1583
447,2095
448,1524
449,1251
450,1688
451,2503
452,2197
453,1711
454,1963
455,2017
456,1354
457,2049
458,1564
459,3458
460,2014
461,1931
462,1915
463,1726
464,2620
465,1207
466,1326
467,2004
468,1815
469,1383
470,1940
471,1722
472,1772
473,1552
474,1808
475,1158
476,3157
477,1699
478,1270
479,1300
480,1173
481,2029
482,2279
483,1452
484,3422
485,1692
486,1669
487,1760
488,3395
489,2669
490,2131
491,1429
492,1768
493,1648
494,1269
495,1091
496,1291
497,1822
498,1398
499,2072
500,1513
501,1721
502,1498
503,2344
504,1558
505,1623
506,1815
507,2680
508,2204
509,2754
510,2033
511,1526
512,1861
513,1365
514,2775
515,1120
516,2041
517,2000
518,1672
519,2326
520,1379
521,1824
522,1454
523,2610
524,1609
525,1334
526,2212
527,1705
528,1259
529,2028
530,1937
531,1546
532,1576
533,1159
534,1663
535,1702
536,2010
537,1722
538,1632
539,1543
540,1408
541,1800
542,2461
543,1835
544,1937
545,1631
546,1591
547,1819
548,1747
549,1987
550,1542
551,1638
552,1397
553,1940
554,1990
555,2297
556,1411
557,1365
558,1376
559,2988
560,1341
561,1477
562,2948
563,1813
564,1500
565,3605
566,3104
567,1575
568,1417
569,1832
570,2305
571,1521
572,1978
573,4993
574,1294
575,3131
576,1385
577,2132
578,1860
579,1580
580,1902
581,1382
582,2309
583,2327
584,1832
585,1859
586,1873
587,1554
588,1690
589,1655
590,1831
591,3287
592,1270
593,2433
594,1909
595,3118
596,1151
597,1576
598,1353
599,2024
600,2196
601,1386
602,1385
603,1561
604,1788
605,2499
606,2217
607,1227
608,1890
609,2260
610,1604
611,1583
612,1730
613,2066
614,1481
615,2064
616,1678
617,2969
618,1945
619,1396
620,1701
621,1654
622,1364
623,2675
624,2199
625,2396
626,2190
627,1770
628,1449
629,1622
630,1295
631,1852
632,2752
633,2324
634,2200
635,1516
636,1795
637,1413
638,1978
639,1821
640,1225
641,1592
642,1548
643,1369
644,1873
645,1802
646,2451
647,1749
648,2335
649,1319
650,1419
651,1208
652,2402
653,1131
654,1777
655,1692
656,1980
657,2254
658,1677
659,2209
660,1554
661,1232
662,2484
663,1896
664,1942
665,1267
666,1490
667,1859
668,1254
669,2110
670,1962
671,1748
672,3613
673,1429
674,1451
675,1515
676,1236
677,1489
678,1747
679,1752
680,2308
681,2522
682,1826
683,2854
684,1927
685,2132
686,1777
687,2246
688,1188
689,1403
690,2534
691,2553
692,3144
693,2385
694,2056
695,1900
696,1354
697,1661
698,1692
699,1658
700,1715
701,2012
702,3450
703,1268
704,1576
705,1421
706,1169
707,1470
708,1910
709,1890
710,1295
711,2023
712,1294
713,1837
714,1882
715,1461
716,1677
717,1253
718,1486
719,1604
720,1293
721,2369
722,2209
723,1236
724,1991
725,1893
726,3468
727,1362
728,1573
729,2361
730,1683
731,2136
732,1379
733,2098
734,1456
735,2123
736,1793
737,1799
738,1414
739,1352
740,2508
741,1815
742,1817
743,2918
744,1830
745,1766
746,1224
747,1820
748,1959
749,2180
750,1733
751,1616
752,1235
753,1285
754,1995
755,1320
756,1581
757,1729
758,1345
759,1698
760,1996
761,1872
762,2549
763,1117
764,1578
765,1465
766,1595
767,1585
768,1297
769,1689
770,1252
771,1498
772,1320
773,1845
774,2326
775,2223
776,1457
777,1751
778,1127
779,2070
780,1687
781,2335
782,1350
783,2156
784,2574
785,1870
786,1600
787,1817
788,1965
789,1339
790,2263
791,2181
792,1670
793,1216
794,3234
795,1934
796,1786
797,2013
798,1403
799,1523
800,1190
801,2200
802,2437
803,1356
804,2179
805,1372
806,1511
807,1689
808,1270
809,1581
810,1759
811,1601
812,1527
813,1197
814,1773
815,2002
816,1968
817,1253
818,2179
819,1824
820,1375
821,1688
822,1452
823,1678
824,1293
825,1112
826,1886
827,1201
828,1913
829,1590
830,1935
831,1677
832,1665
833,1534
834,1794
835,1407
836,1511
837,1896
838,1278
839,1466
840,1756
841,2420
842,2200
843,1644
844,2609
845,1922
846,1227
847,1516
848,1400
849,2004
850,2578
851,1407
852,1440
853,3280
854,1801
855,1577
856,1516
857,1407
858,1368
859,1945
860,1261
861,1754
862,1253
863,1680
864,1133
865,1724
866,1785
867,2012
868,1792
869,1527
870,1804
871,2009
872,981
873,1738
874,1955
875,1772
876,1359
877,1204
878,1514
879,1561
880,1531
881,1644
882,1936
883,2621
884,2705
885,1618
886,2243
887,1381
888,1722
889,1811
890,1812
891,1556
892,1413
893,1438
894,1736
895,1640
896,1912
897,1553
898,1527
899,1731
900,1610
901,1329
902,2093
903,3093
904,1938
905,1840
906,1460
907,1394
908,1865
909,2250
910,1730
911,2064
912,1812
913,1261
914,1510
915,2110
916,1660
917,1288
918,1897
919,2590
920,1346
921,2922
922,1522
923,1243
924,1645
925,1781
926,1559
927,3362
928,1732
929,1821
930,66119
931,1791
932,2566
933,1475
934,1384
935,1594
936,1637
937,2199
938,2869
939,1656
940,1458
941,1865
942,1359
943,2494
944,1337
945,2228
946,1172
947,1227
948,1597
949,1936
950,1366
951,3730
952,1668
953,1582
954,1944
955,1492
956,3186
957,2407
958,1975
959,1995
960,2199
961,1630
962,1471
963,1315
964,2449
965,1485
966,2241
967,1624
968,1179
969,1544
970,3758
971,1610
972,2134
973,1866
974,2470
975,2127
976,1477
977,1374
978,2088
979,1111
980,1324
981,1460
982,2423
983,2708
984,1423
985,1257
986,1088
987,1391
988,1530
989,1250
990,1701
991,1697
992,2300
993,1918
994,2263
995,2363
996,1871
997,1369
998,2331
999,1730
1000,1692
1001,1722
1002,2515
1003,1995
1004,1444
1005,1755
1006,1766
1007,1718
1008,1610
1009,1450
1010,1195
1011,1389
1012,1737
1013,1160
1014,1440
1015,1654
1016,1223
1017,1173
1018,1249
1019,1200
1020,1229
1021,1631
1022,1660
1023,2697
1024,1380
1025,1533
1026,2594
1027,2469
1028,2008
1029,1971
1030,1757
1031,2134
1032,1516
1033,1724
1034,1830
1035,1421
1036,1280
1037,1945
1038,1347
1039,2124
1040,1480
1041,1614
1042,1673
1043,1607
1044,1222
1045,1434
1046,1938
1047,2155
1048,2088
1049,2147
1050,1638
1051,2509
1052,1853
1053,1880
1054,2618
1055,1577
1056,2712
1057,1150
1058,1548
1059,1787
1060,2310
1061,2080
1062,1823
1063,1794
1064,1682
1065,1512
1066,1281
1067,1313
1068,1771
1069,1824
1070,1297
1071,1968
1072,1746
1073,1497
1074,2695
1075,2140
1076,1774
1077,1626
1078,1321
1079,1775
1080,1854
1081,1641
1082,2254
1083,2252
1084,1253
1085,1890
1086,2910
1087,1887
1088,1451
1089,2113
1090,1888
1091,1153
1092,1813
1093,1778
1094,1629
1095,1295
1096,1240
1097,1363
1098,1291
1099,1426
1100,1161
1101,1251
1102,1459
1103,1746
1104,1756
1105,3228
1106,2415
1107,1480
1108,1359
1109,2205
1110,1285
1111,1768
1112,1654
1113,1661
1114,2030
1115,2487
1116,1340
1117,1478
1118,2126
1119,2194
1120,1448
1121,1734
1122,1443
1123,2056
1124,1499
1125,1575
1126,2166
1127,2335
1128,2012
1129,1169
1130,1292
1131,1485
1132,1620
1133,1407
1134,2009
1135,2247
1136,2867
1137,2142
1138,1278
1139,1581
1140,2960
1141,1474
1142,2044
1143,1817
1144,2091
1145,1711
