Id,Prediction
0,1528
1,1779
2,3235
3,2201
4,2856
5,1773
6,2642
7,2285
8,1448
9,1103
10,1547
11,2145
12,3123
13,1992
14,1572
15,1653
16,1071
17,4568
18,1639
19,1793
20,2056
21,1504
22,3617
23,1780
24,4485
25,1340
26,918
27,1186
28,1402
29,2144
30,1169
31,1874
32,1444
33,4355
34,1035
35,1428
36,1819
37,4046
38,1381
39,1491
40,899
41,1201
42,1411
43,2787
44,1123
45,1485
46,1163
47,894
48,2974
49,1789
50,1638
51,3309
52,1610
53,2557
54,2707
55,2354
56,3584
57,1780
58,1242
59,1846
60,2580
61,2291
62,1622
63,841
64,1752
65,1040
66,2066
67,1540
68,2143
69,1625
70,1057
71,1675
72,1323
73,3969
74,1946
75,1518
76,2002
77,2252
78,1745
79,1712
80,3789
81,1825
82,2105
83,2130
84,1706
85,1833
86,2278
87,1653
88,959
89,1510
90,2978
91,1651
92,2210
93,2067
94,1451
95,1273
96,2550
97,2401
98,1531
99,4641
100,2861
101,1586
102,2355
103,2080
104,1835
105,1974
106,4255
107,13533
108,986
109,1211
110,1292
111,2922
112,760
113,1636
114,1363
115,1688
116,1806
117,2406
118,1314
119,2714
120,1578
121,1223
122,1252
123,2626
124,1136
125,1830
126,1401
127,3307
128,1377
129,2458
130,1398
131,837
132,1566
133,1993
134,1033
135,1308
136,2791
137,1842
138,2009
139,1535
140,1881
141,1171
142,2732
143,1684
144,1571
145,1726
146,2682
147,1480
148,2851
149,2438
150,2392
151,3047
152,1436
153,1521
154,1139
155,3031
156,2790
157,2744
158,1508
159,2006
160,1563
161,4542
162,1158
163,2113
164,1411
165,3184
166,1699
167,1245
168,1428
169,1851
170,2476
171,2501
172,1083
173,2984
174,1171
175,1631
176,1315
177,1208
178,1732
179,1566
180,2942
181,2291
182,2643
183,1836
184,1540
185,1193
186,1239
187,3119
188,2295
189,3944
190,1308
191,1610
192,3821
193,1523
194,1016
195,1411
196,1429
197,2439
198,3140
199,2161
200,2315
201,2608
202,1563
203,2011
204,1534
205,1033
206,2005
207,1339
208,1321
209,4593
210,1968
211,1521
212,1262
213,2194
214,1592
215,1124
216,1149
217,1379
218,1357
219,868
220,1459
221,1833
222,1052
223,1755
224,1503
225,1507
226,2473
227,2443
228,2184
229,1822
230,1161
231,1261
232,1468
233,2549
234,1141
235,1259
236,1094
237,2112
238,1814
239,2764
240,1961
241,1334
242,1103
243,3402
244,1501
245,1390
246,1178
247,3113
248,1695
249,1470
250,4254
251,3687
252,1880
253,1703
254,3011
255,2085
256,2633
257,2305
258,1346
259,2940
260,1690
261,1488
262,2438
263,2625
264,1589
265,3116
266,3231
267,1146
268,2927
269,1771
270,1298
271,1425
272,1873
273,1367
274,1282
275,2418
276,2273
277,2461
278,1881
279,2675
280,2939
281,1419
282,3945
283,1753
284,2062
285,940
286,2497
287,1447
288,2531
289,1491
290,2450
291,3578
292,1049
293,2467
294,1970
295,1838
296,1540
297,1990
298,2026
299,1090
300,2690
301,1756
302,1612
303,1775
304,2061
305,2197
306,2282
307,692
308,2191
309,2673
310,2260
311,2039
312,4198
313,1226
314,2252
315,932
316,2979
317,920
318,1536
319,2753
320,2494
321,1653
322,2295
323,2120
324,1388
325,2281
326,1698
327,1192
328,2153
329,1733
330,1512
331,943
332,1680
333,1367
334,1815
335,2325
336,2921
337,2286
338,3156
339,1634
340,2564
341,1632
342,1791
343,1438
344,1276
345,6205
346,2911
347,1740
348,3671
349,1369
350,2148
351,1145
352,1467
353,880
354,1707
355,1535
356,2577
357,3001
358,1249
359,3016
360,3106
361,1834
362,2030
363,1966
364,1785
365,1140
366,944
367,2625
368,954
369,2302
370,4128
371,2083
372,2585
373,1983
374,1077
375,1286
376,4913
377,861
378,1917
379,2161
380,1575
381,1570
382,2097
383,4451
384,4016
385,1310
386,1343
387,2374
388,1804
389,2601
390,1962
391,3403
392,1762
393,2293
394,1794
395,1032
396,1404
397,2348
398,2663
399,1735
400,1248
401,1706
402,1189
403,1451
404,2418
405,2514
406,1509
407,3045
408,2514
409,2551
410,1827
411,1345
412,1482
413,2346
414,3268
415,2193
416,1218
417,1635
418,2278
419,2127
420,1228
421,3306
422,3782
423,934
424,1641
425,1310
426,1711
427,1041
428,6971
429,3593
430,1185
431,1562
432,3204
433,2116
434,1495
435,1990
436,1442
437,1667
438,974
439,1915
440,3567
441,1084
442,1233
443,3340
444,2203
445,990
446,1600
447,2688
448,2131
449,1112
450,1559
451,5380
452,1500
453,2776
454,1554
455,1243
456,1387
457,1392
458,1123
459,2307
460,1945
461,2714
462,1265
463,1781
464,1002
465,1195
466,1285
467,6254
468,1577
469,1262
470,2059
471,1271
472,1645
473,1330
474,1181
475,682
476,1892
477,2238
478,1216
479,1519
480,1715
481,2064
482,3031
483,941
484,3962
485,1754
486,1381
487,2469
488,4120
489,2793
490,1733
491,1698
492,2626
493,2887
494,1330
495,1024
496,1053
497,1286
498,968
499,2480
500,1170
501,1901
502,1023
503,2170
504,1404
505,1432
506,1057
507,2244
508,2791
509,2253
510,2141
511,3021
512,1957
513,1945
514,4267
515,1006
516,3356
517,2988
518,1681
519,2339
520,1585
521,3303
522,1052
523,4113
524,1883
525,1595
526,3166
527,2677
528,2847
529,4175
530,4715
531,1347
532,1164
533,1253
534,1426
535,1418
536,1590
537,2337
538,1586
539,3200
540,1349
541,2146
542,3261
543,1639
544,2683
545,1371
546,1841
547,1715
548,914
549,2064
550,2000
551,1160
552,1630
553,4117
554,1709
555,1390
556,1293
557,1854
558,1678
559,2931
560,1113
561,1872
562,2903
563,1825
564,2435
565,2029
566,2865
567,1465
568,1438
569,2711
570,1947
571,1106
572,2770
573,2356
574,1200
575,6680
576,1943
577,2054
578,2515
579,1904
580,1316
581,1690
582,3388
583,1132
584,3464
585,1705
586,1485
587,1589
588,1469
589,1884
590,4199
591,3777
592,1820
593,4452
594,3185
595,2155
596,1849
597,1829
598,1442
599,3494
600,2556
601,1524
602,2161
603,1704
604,1708
605,3368
606,2736
607,1117
608,2211
609,2404
610,3309
611,1314
612,1780
613,2870
614,2067
615,1667
616,1796
617,1917
618,1982
619,1091
620,2092
621,1578
622,1585
623,8094
624,2520
625,3301
626,2512
627,1200
628,1785
629,1649
630,3873
631,1363
632,4288
633,2696
634,2413
635,1185
636,3165
637,1313
638,2467
639,1778
640,943
641,1138
642,1248
643,1145
644,1571
645,1759
646,2005
647,1181
648,2935
649,996
650,2779
651,1108
652,2499
653,1415
654,2481
655,2538
656,1804
657,2375
658,2398
659,2019
660,2377
661,1042
662,3884
663,2280
664,1893
665,1166
666,2442
667,2074
668,929
669,1509
670,2306
671,1553
672,2857
673,1299
674,1168
675,1133
676,2819
677,1966
678,2652
679,2373
680,3663
681,1344
682,1167
683,2170
684,2244
685,2105
686,1114
687,2546
688,1142
689,2621
690,2312
691,3589
692,1334
693,2207
694,1705
695,1862
696,833
697,1394
698,1645
699,1344
700,1785
701,1603
702,4235
703,1381
704,2144
705,2309
706,1390
707,1231
708,1782
709,1866
710,789
711,1780
712,875
713,2006
714,1214
715,1369
716,1431
717,1170
718,1164
719,1368
720,1008
721,1881
722,1495
723,2874
724,1370
725,2185
726,2008
727,1240
728,1520
729,4224
730,1335
731,2796
732,1216
733,1927
734,3409
735,1322
736,3243
737,2285
738,4681
739,939
740,2071
741,2009
742,1813
743,2456
744,3450
745,1278
746,1836
747,1279
748,2144
749,1920
750,2072
751,1699
752,1497
753,1264
754,1230
755,2705
756,1880
757,2155
758,2116
759,1364
760,1579
761,1274
762,1600
763,1234
764,1594
765,2595
766,1538
767,1338
768,1629
769,1702
770,978
771,1094
772,1421
773,1784
774,3329
775,1416
776,1035
777,2375
778,1460
779,1886
780,1551
781,2993
782,1252
783,1964
784,1530
785,2452
786,1280
787,1523
788,2195
789,1107
790,2933
791,3071
792,1249
793,920
794,5514
795,3354
796,2077
797,2012
798,1236
799,2010
800,1580
801,1436
802,2363
803,1264
804,2387
805,1099
806,1539
807,3167
808,1488
809,1467
810,3217
811,1336
812,1713
813,1186
814,2346
815,4261
816,2645
817,2201
818,1200
819,1341
820,1276
821,1299
822,1407
823,2109
824,1267
825,1086
826,2153
827,1556
828,3194
829,2336
830,1819
831,1906
832,1322
833,882
834,1992
835,865
836,1801
837,2017
838,1099
839,2457
840,2865
841,3655
842,1838
843,2129
844,2859
845,1822
846,1030
847,1323
848,1249
849,1512
850,1675
851,1747
852,1198
853,4474
854,1991
855,1632
856,1005
857,5054
858,1749
859,2480
860,2359
861,1282
862,912
863,2254
864,1081
865,1947
866,1176
867,1819
868,1931
869,1435
870,1363
871,1811
872,1133
873,2053
874,2172
875,2568
876,2105
877,1181
878,1753
879,2741
880,1195
881,1763
882,2916
883,2580
884,2982
885,1474
886,985
887,1344
888,3436
889,1491
890,2355
891,1252
892,1383
893,1867
894,2038
895,1227
896,2892
897,1562
898,1325
899,2233
900,1519
901,1251
902,1516
903,1883
904,1830
905,2041
906,1194
907,1550
908,1709
909,2046
910,1856
911,2046
912,1420
913,1533
914,1863
915,1750
916,1352
917,1044
918,1703
919,4970
920,2391
921,2896
922,2072
923,1363
924,1220
925,1614
926,1513
927,4181
928,1488
929,1818
930,1616
931,1850
932,2598
933,1296
934,799
935,1065
936,2652
937,1313
938,4356
939,3556
940,1231
941,1563
942,1040
943,2065
944,1018
945,2946
946,1012
947,998
948,1447
949,1086
950,1801
951,3646
952,1735
953,2025
954,2225
955,1165
956,3015
957,2611
958,2538
959,875
960,1479
961,1199
962,1279
963,1383
964,2063
965,1618
966,1547
967,910
968,969
969,1324
970,6159
971,1156
972,1492
973,1731
974,1586
975,2944
976,1471
977,2047
978,2303
979,1087
980,1051
981,1537
982,3135
983,1653
984,1018
985,1247
986,1097
987,1274
988,1375
989,1291
990,1621
991,2638
992,1983
993,2397
994,2295
995,1475
996,1784
997,1296
998,3318
999,1906
1000,1797
1001,1491
1002,3404
1003,1659
1004,1791
1005,1512
1006,1120
1007,2238
1008,1483
1009,1283
1010,1523
1011,1164
1012,1778
1013,1385
1014,1968
1015,1601
1016,1225
1017,1894
1018,1243
1019,1557
1020,1468
1021,1478
1022,1676
1023,1717
1024,1276
1025,2300
1026,2092
1027,2029
1028,2922
1029,1707
1030,1921
1031,2248
1032,2168
1033,1798
1034,2460
1035,1810
1036,1746
1037,2391
1038,1280
1039,2277
1040,2092
1041,1138
1042,1437
1043,1168
1044,2977
1045,1220
1046,1963
1047,2065
1048,2532
1049,1659
1050,2193
1051,3212
1052,1653
1053,2521
1054,1958
1055,1389
1056,3539
1057,1777
1058,1807
1059,1815
1060,2476
1061,2082
1062,1680
1063,1956
1064,1817
1065,2719
1066,993
1067,1944
1068,1909
1069,1472
1070,1286
1071,2280
1072,2019
1073,2599
1074,1619
1075,2054
1076,2607
1077,1007
1078,1280
1079,3970
1080,1472
1081,2386
1082,5697
1083,1257
1084,1179
1085,2184
1086,2993
1087,1406
1088,2923
1089,3288
1090,1221
1091,1120
1092,3055
1093,2333
1094,1470
1095,2046
1096,978
1097,999
1098,1446
1099,1870
1100,1161
1101,2024
1102,1136
1103,1363
1104,2033
1105,3992
1106,2518
1107,1302
1108,1507
1109,1099
1110,1002
1111,1196
1112,1651
1113,1750
1114,2205
1115,1822
1116,1226
1117,1550
1118,2489
1119,2255
1120,1776
1121,1940
1122,1845
1123,1899
1124,1129
1125,3248
1126,4283
1127,3323
1128,1629
1129,1849
1130,1415
1131,2261
1132,1729
1133,850
1134,1835
1135,1532
1136,1786
1137,2186
1138,1044
1139,922
1140,2378
1141,1159
1142,1835
1143,1856
1144,2810
1145,1232
1146,1472
1147,2171
1148,1189
1149,2075
1150,1871
1151,1504
1152,1146
1153,2089
1154,1537
1155,1684
1156,1030
1157,713
1158,3354
1159,2971
1160,3067
1161,1405
1162,4882
1163,916
1164,1871
1165,1079
1166,1023
1167,1485
1168,2581
1169,2254
1170,2247
1171,1873
1172,824
1173,2231
1174,2850
1175,1526
1176,819
1177,4988
1178,2408
1179,1344
1180,1969
1181,1390
1182,1295
1183,4638
1184,1325
1185,1431
1186,1849
1187,3416
1188,1554
1189,3087
1190,2978
1191,1486
1192,2005
1193,2296
1194,2099
1195,1878
1196,2693
1197,1346
1198,3154
1199,1637
1200,2212
1201,2003
1202,1179
1203,1430
1204,1828
1205,3077
1206,1674
1207,2455
1208,1165
1209,1434
1210,1805
1211,1316
1212,2500
1213,1754
1214,3709
1215,1914
1216,1471
1217,1752
1218,1826
1219,1593
1220,1006
1221,1351
1222,2395
1223,1104
1224,2731
1225,1012
1226,1461
1227,1195
1228,1268
1229,1981
1230,3884
1231,2573
1232,1957
1233,1114
1234,1903
1235,1416
1236,924
1237,3213
1238,1979
1239,1193
1240,2158
1241,2487
1242,1565
1243,1056
1244,1427
1245,1453
1246,897
1247,1930
1248,1182
1249,1549
1250,1482
1251,1996
1252,1823
1253,2027
1254,1261
1255,1474
1256,1367
1257,1143
1258,3381
1259,2588
1260,1961
1261,978
1262,2336
1263,1108
1264,3089
1265,2243
1266,2231
1267,3138
1268,1159
1269,1127
1270,1929
1271,2017
1272,1836
1273,1173
1274,2327
1275,1347
1276,2462
1277,1875
1278,1380
1279,1593
1280,3181
1281,1923
1282,832
1283,1415
1284,1205
1285,2253
1286,1136
1287,3304
1288,1584
1289,1302
1290,1763
1291,3222
1292,1272
1293,1345
1294,1246
1295,2013
1296,1580
1297,1198
1298,1513
1299,1321
1300,1065
1301,1403
1302,2379
1303,1440
1304,1502
1305,1347
1306,1351
1307,1758
1308,1161
1309,1368
1310,1174
1311,1736
1312,1820
1313,1344
1314,5030
1315,865
1316,1377
1317,2949
1318,1925
1319,1626
1320,1920
1321,7762
1322,1122
1323,1093
1324,1325
1325,3109
1326,1132
1327,2151
1328,1720
1329,1255
1330,2591
1331,1900
1332,5371
1333,1586
1334,1936
1335,3866
1336,1012
1337,2018
1338,2611
1339,1107
1340,2937
1341,1499
1342,1072
1343,1438
1344,1367
1345,772
1346,2339
1347,1868
1348,1210
1349,1354
1350,1816
1351,1332
1352,2210
1353,1093
1354,1710
1355,1347
1356,1123
1357,1692
1358,1102
1359,2639
1360,1519
1361,2962
1362,1359
1363,1143
1364,1537
1365,1951
1366,7792
1367,3072
1368,1691
1369,1250
1370,1708
1371,2561
1372,903
1373,2322
1374,2534
1375,1938
1376,2005
1377,2237
1378,1911
1379,1780
1380,1431
1381,2100
1382,2402
1383,1365
1384,1646
1385,1537
1386,3993
1387,1562
1388,858
1389,1144
1390,3096
1391,2621
1392,2428
1393,2275
1394,1949
1395,2319
1396,3854
1397,3551
1398,2374
1399,1678
1400,2321
1401,2824
1402,1962
1403,1729
1404,2045
1405,1602
1406,2067
1407,3382
1408,1813
1409,895
1410,1922
1411,1870
1412,1105
1413,1712
1414,1406
1415,1832
1416,1363
1417,2947
1418,1885
1419,2389
1420,982
1421,1380
1422,1974
1423,1832
1424,2726
1425,1456
1426,1219
1427,1534
1428,1314
1429,1493
1430,1887
1431,3123
1432,1249
1433,4260
1434,1279
1435,1565
1436,1218
1437,4940
1438,1327
1439,1783
1440,1502
1441,1536
1442,1104
1443,1530
1444,2450
1445,1574
1446,1477
1447,1793
1448,1535
1449,3293
1450,1190
1451,1642
1452,1151
1453,3748
1454,1112
1455,1848
1456,1004
1457,1338
1458,3880
1459,2362
1460,1865
1461,3993
1462,2873
1463,1766
1464,1905
1465,2377
1466,1451
1467,1330
1468,1412
1469,1304
1470,1250
1471,2423
1472,5198
1473,1684
1474,1767
1475,1718
1476,1551
1477,1727
1478,1807
1479,2198
1480,1374
1481,2424
1482,2235
1483,2685
1484,1805
1485,2943
1486,2930
1487,1482
1488,2397
1489,1255
1490,2412
1491,2640
1492,1224
1493,1728
1494,1324
1495,1167
1496,1989
1497,2102
1498,1297
1499,7767
1500,2643
1501,2617
1502,2780
1503,1700
1504,3674
1505,1197
1506,1169
1507,1703
1508,1243
1509,1129
1510,2283
1511,1943
1512,1715
1513,1966
1514,1512
1515,2112
1516,1710
1517,1223
1518,2487
1519,3187
1520,1237
1521,2265
1522,1013
1523,1493
1524,1759
1525,1689
1526,1701
1527,890
