Id,Prediction
0,1563
1,2116
2,1544
3,2159
4,2265
5,3196
6,2325
7,2048
8,1193
9,1519
10,1712
11,2365
12,1832
13,2368
14,1311
15,1965
16,1114
17,2543
18,1989
19,2365
20,1800
21,2449
22,2967
23,2002
24,3855
25,2537
26,1230
27,1191
28,1561
29,2457
30,1160
31,1992
32,2661
33,3226
34,935
35,1020
36,2526
37,2990
38,1502
39,2102
40,979
41,1988
42,1034
43,2005
44,1076
45,1378
46,1317
47,1148
48,2364
49,2053
50,3098
51,2338
52,1669
53,1807
54,1714
55,2831
56,3529
57,1341
58,1359
59,2251
60,1951
61,1474
62,1681
63,1199
64,2052
65,1066
66,1030
67,1521
68,1202
69,1096
70,1287
71,1865
72,1617
73,2391
74,1393
75,1596
76,1500
77,2257
78,1239
79,3029
80,2269
81,1833
82,2721
83,2179
84,1825
85,1305
86,2822
87,1768
88,1141
89,1339
90,2375
91,1700
92,1778
93,2213
94,1641
95,1538
96,2622
97,1557
98,1805
99,2876
100,2315
101,1810
102,1453
103,2649
104,1172
105,1757
106,2817
107,4523
108,1272
109,1718
110,1523
111,2271
112,1349
113,1671
114,1048
115,1802
116,1590
117,2474
118,1655
119,2369
120,1311
121,1069
122,1152
123,1788
124,2149
125,1527
126,1842
127,2262
128,2148
129,2806
130,1418
131,1219
132,1583
133,1215
134,1211
135,1152
136,2623
137,1926
138,1848
139,1886
140,1455
141,1774
142,3317
143,2038
144,1799
145,1559
146,1918
147,1445
148,2506
149,2900
150,2364
151,1708
152,1678
153,1906
154,1807
155,2844
156,2342
157,2461
158,1565
159,1301
160,1846
161,3082
162,1193
163,2766
164,2020
165,2263
166,1890
167,1568
168,1363
169,1852
170,4202
171,1996
172,1182
173,1655
174,1742
175,1628
176,1264
177,1655
178,1669
179,1460
180,2109
181,2297
182,2129
183,1767
184,1189
185,1114
186,1240
187,2780
188,2017
189,3577
190,1879
191,1402
192,2274
193,1937
194,1680
195,1594
196,1787
197,2534
198,2135
199,1725
200,1144
201,1984
202,1557
203,2029
204,2160
205,1216
206,2235
207,1544
208,1910
209,3009
210,1930
211,1526
212,1652
213,1838
214,1431
215,1293
216,1175
217,1501
218,2790
219,1171
220,1641
221,1735
222,1655
223,1634
224,1381
225,1642
226,1989
227,2371
228,1872
229,1314
230,1312
231,1540
232,1370
233,1579
234,1296
235,1539
236,1261
237,1880
238,1807
239,4682
240,1445
241,1790
242,1263
243,2037
244,1791
245,1686
246,1261
247,3330
248,1694
249,1539
250,1869
251,2436
252,1535
253,1547
254,2737
255,1969
256,1766
257,1718
258,1776
259,3401
260,1809
261,2497
262,1911
263,2794
264,1846
265,3948
266,1598
267,1203
268,1634
269,2317
270,1476
271,1258
272,1697
273,1570
274,1608
275,2995
276,2155
277,2885
278,1769
279,2960
280,2853
281,1349
282,1664
283,1438
284,2473
285,1404
286,2166
287,1617
288,1800
289,1955
290,2134
291,3467
292,1110
293,2136
294,1776
295,1285
296,1616
297,2196
298,1414
299,1281
300,2587
301,2711
302,1195
303,1795
304,1411
305,1919
306,2725
307,1103
308,2474
309,3641
310,2648
311,2161
312,3636
313,1049
314,1530
315,993
316,3659
317,970
318,1720
319,1695
320,3143
321,1992
322,1224
323,2217
324,985
325,1906
326,1464
327,1208
328,1681
329,1488
330,1641
331,1255
332,2427
333,1975
334,2047
335,1902
336,2478
337,1986
338,1803
339,1960
340,2402
341,1443
342,2153
343,1353
344,1796
345,3220
346,2687
347,1871
348,2975
349,1579
350,2332
351,1691
352,1527
353,1071
354,1690
355,1535
356,2629
357,1843
358,1200
359,2790
360,1924
361,1552
362,1397
363,2421
364,1608
365,1253
366,1277
367,2646
368,1172
369,1720
370,2383
371,1400
372,2969
373,1365
374,1223
375,1464
376,3527
377,982
378,1982
379,1800
380,1914
381,1411
382,1778
383,2530
384,2008
385,1112
386,1217
387,1696
388,1359
389,2996
390,1727
391,3111
392,1821
393,1905
394,1899
395,1204
396,992
397,2586
398,1752
399,1792
400,1579
401,2956
402,1970
403,1600
404,1847
405,2645
406,1146
407,2502
408,2036
409,2078
410,1595
411,1649
412,1935
413,1991
414,2451
415,1684
416,1427
417,1563
418,1932
419,2684
420,1108
421,2213
422,2894
423,979
424,2025
425,1489
426,1987
427,1155
428,2963
429,3007
430,1477
431,1703
432,3012
433,1813
434,1923
435,1983
436,991
437,2232
438,1593
439,1979
440,2522
441,1398
442,1708
443,2284
444,1820
445,1147
446,1215
447,2579
448,1534
449,1337
450,1469
451,2129
452,1797
453,2250
454,1899
455,1750
456,1628
457,1654
458,1203
459,2304
460,2080
461,2266
462,1509
463,2239
464,2207
465,1221
466,1502
467,2492
468,1771
469,1529
470,1600
471,1554
472,1502
473,1356
474,1528
475,888
476,2260
477,1745
478,1394
479,1248
480,1162
481,2096
482,2319
483,984
484,4412
485,1755
486,2201
487,1648
488,5327
489,2029
490,1851
491,1294
492,1476
493,2323
494,984
495,1122
496,1083
497,1674
498,1336
499,1916
500,1280
501,1600
502,1241
503,2882
504,1868
505,1526
506,1988
507,2530
508,2991
509,3331
510,2772
511,2002
512,1636
513,1668
514,4915
515,1103
516,2459
517,1939
518,1650
519,2219
520,1359
521,2272
522,1183
523,2423
524,1845
525,1093
526,2574
527,1820
528,2060
529,2733
530,1882
531,2850
532,1411
533,1695
534,2682
535,1823
536,2303
537,3553
538,1350
539,1738
540,1415
541,2953
542,2964
543,2064
544,2364
545,1543
546,1735
547,2052
548,1563
549,1663
550,1827
551,1470
552,1319
553,3019
554,2733
555,3347
556,1768
557,1026
558,1537
559,3227
560,1136
561,1540
562,3311
563,1772
564,2001
565,3385
566,2245
567,1388
568,1261
569,1825
570,2265
571,1363
572,2004
573,3068
574,1279
575,4704
576,1814
577,2148
578,2268
579,1784
580,1963
581,1372
582,2400
583,2252
584,4449
585,2285
586,1369
587,1499
588,1443
589,1861
590,3223
591,3697
592,1089
593,4029
594,2095
595,2775
596,1663
597,1517
598,1572
599,1914
600,2245
601,1939
602,1376
603,1290
604,1903
605,2385
606,3052
607,984
608,1682
609,2746
610,1770
611,1326
612,1672
613,2248
614,1494
615,2691
616,1296
617,2338
618,2672
619,1645
620,1707
621,1364
622,1595
623,3098
624,3147
625,3504
626,2160
627,1528
628,1503
629,1861
630,1473
631,2063
632,3761
633,1949
634,1838
635,1701
636,1981
637,1321
638,2676
639,1771
640,1056
641,1571
642,1667
643,1197
644,1831
645,1916
646,2740
647,1256
648,2920
649,1047
650,1454
651,1106
652,2242
653,1236
654,2345
655,1731
656,2082
657,1916
658,2291
659,2348
660,2121
661,1397
662,3033
663,2392
664,1713
665,1376
666,2270
667,1892
668,1100
669,1991
670,1748
671,2529
672,3089
673,1638
674,1241
675,1484
676,1414
677,1721
678,1863
679,2314
680,4095
681,2692
682,1639
683,3022
684,2108
685,2416
686,1692
687,2319
688,1608
689,1396
690,2372
691,2590
692,2468
693,2818
694,2614
695,2279
696,1158
697,2244
698,2219
699,1609
700,2411
701,1612
702,4104
703,1354
704,1616
705,1454
706,1569
707,1071
708,1600
709,1619
710,1143
711,1938
712,1073
713,2085
714,1522
715,1382
716,1804
717,1123
718,1215
719,1473
720,1041
721,2131
722,2023
723,2253
724,2141
725,1860
726,2275
727,1834
728,1763
729,1901
730,1662
731,2436
732,1211
733,2225
734,1439
735,2077
736,2407
737,2597
738,3085
739,1295
740,1908
741,1603
742,1727
743,3273
744,2203
745,1892
746,1046
747,1333
748,2351
749,2050
750,1445
751,1551
752,1064
753,1137
754,1901
755,2491
756,1682
757,2437
758,1710
759,1865
760,1482
761,1365
762,4127
763,1243
764,1615
765,1783
766,1547
767,1517
768,1294
769,1350
770,1160
771,1478
772,1109
773,2130
774,3781
775,1625
776,1238
777,1965
778,1000
779,2503
780,1790
781,2207
782,1398
783,2677
784,2012
785,1710
786,1382
787,1960
788,1514
789,1439
790,2377
791,2126
792,1870
793,1209
794,4765
795,2965
796,1879
797,2071
798,1494
799,1735
800,1944
801,2503
802,2034
803,1227
804,1712
805,1223
806,1596
807,2319
808,1158
809,1616
810,2088
811,1745
812,1480
813,1278
814,1750
815,1852
816,1940
817,1521
818,1829
819,1302
820,1048
821,1910
822,2179
823,1849
824,1231
825,958
826,1502
827,1356
828,2165
829,1350
830,1685
831,1954
832,1387
833,1402
834,2958
835,1247
836,1627
837,1569
838,926
839,1848
840,1710
841,3220
842,2019
843,1599
844,2278
845,1758
846,1331
847,1668
848,1276
849,2538
850,2532
851,1408
852,1464
853,3514
854,2204
855,1320
856,1152
857,1339
858,1432
859,2417
860,1237
861,2438
862,1096
863,1459
864,1167
865,1480
866,1840
867,2609
